address,count,symbol
0x10750daec,18,thunk for @escaping @callee_guaranteed @Sendable () -> () (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x1075e5abc,17,ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:89)
0x1078ae900,17,PiAgentComposerBox.body.getter (in Agent Deck.debug.dylib) (PiAgentComposerViews.swift:0)
0x1078c1980,17,protocol witness for View.body.getter in conformance PiAgentComposerBox (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x107b41229,17,partial apply for closure #1 in PiAgentSessionStore.requestTranscriptLoad(for:) (in Agent Deck.debug.dylib) (/<compiler-generated>:0)
0x107cbabf8,17,closure #1 in PiAgentUserMessageContent.body.getter (in Agent Deck.debug.dylib) (PiAgentTranscriptViews.swift:0)
0x1075f5e4c,17,ContentView.commandContextUpdateToken.getter (in Agent Deck.debug.dylib) (ContentView.swift:602)
0x107d45098,17,closure #9 in PiAgentScreen.body.getter (in Agent Deck.debug.dylib) (PiAgentViews.swift:408)
0x107b43414,17,closure #1 in PiAgentSessionStore.saveNowAsync() (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1114)
0x10757a7c4,16,AppViewModel.hasAgentWarnings.getter (in Agent Deck.debug.dylib) (AppViewModel.swift:3581)
0x107a4bd50,16,closure #1 in PiAgentSessionRow.body.getter (in Agent Deck.debug.dylib) (PiAgentSessionListViews.swift:0)
0x1074e060c,16,AppViewModel.githubRepositoryChanges.setter (in Agent Deck.debug.dylib) (AppViewModel.swift:0)
0x10756276c,16,AppViewModel.syncActiveRepositoryChanges(projectPath:preservingDiffSelection:) (in Agent Deck.debug.dylib) (AppViewModel.swift:2813)
0x107b438a0,16,static PiAgentSessionStore.write(_:to:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1148)
0x107b27348,15,closure #1 in PiAgentSessionStore.requestTranscriptLoad(for:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:340)
0x1075f6a08,15,closure #3 in ContentView.mainContent.getter (in Agent Deck.debug.dylib) (ContentView.swift:167)
0x107b27938,14,static PiAgentSessionStore.readParentTranscript(from:) (in Agent Deck.debug.dylib) (PiAgentSessionStore.swift:1159)
0x107a4c45c,14,closure #1 in closure #1 in PiAgentSessionRow.body.getter (in Agent Deck.debug.dylib) (PiAgentSessionListViews.swift:214)
